title,scorr,genre,running time,actors
Misery Loves Comedy (2015),51,Documentary/Comedy,94 min,Amy Schumer/James L. Brooks/Judd Apatow/Whoopi Goldberg
Avengers: Age of Ultron (2015),66,Action/Adventure/Sci-Fi,142 min,Robert Downey Jr./Chris Evans/Mark Ruffalo/Chris Hemsworth
Far from the Madding Crowd (2015),71,Drama/Romance,119 min,Carey Mulligan/Matthias Schoenaerts/Michael Sheen/Tom Sturridge
Welcome to Me (2014),69,Comedy/Drama,87 min,Kristen Wiig/James Marsden/Linda Cardellini/Wes Bentley
Mandariinid (2013),73,Drama/War,87 min,Lembit Ulfsak/Elmo Nüganen/Giorgi Nakashidze/Misha Meskhi
Iris (2014),80,Documentary/Biography/History,79 min,Carl Apfel/Iris Apfel
Hundraåringen som klev ut genom fönstret och försvann (2013),58,Adventure/Comedy,114 min,Robert Gustafsson/Iwar Wiklander/David Wiberg/Mia Skäringer
Ride (2014),48,Comedy,93 min,Helen Hunt/Brenton Thwaites/Luke Wilson/Robert Knepper
Loin des hommes (2014),74,Drama/War/Western,101 min,Viggo Mortensen/Reda Kateb/Djemel Barek/Vincent Martin
Hyena (2014),56,Crime/Drama,112 min,Peter Ferdinando/Stephen Graham/Neil Maskell/Elisa Lasowski
Días de gracia (2011),58,Crime/Thriller,133 min,Carlos Bardem/Kristyan Ferrer/Tenoch Huerta/José Alberto Solorzano
Hot Pursuit (2015),31,Action/Comedy/Crime,87 min,Reese Witherspoon/Sofía Vergara/Matthew Del Negro/Michael Mosley
The D Train (2015),55,Comedy/Drama,101 min,Jack Black/James Marsden/Kathryn Hahn/Jeffrey Tambor
5 Flights Up (2014),55,Drama,92 min,Diane Keaton/Morgan Freeman/Cynthia Nixon/Carrie Preston
Maggie (2015),52,Drama/Thriller,95 min,Arnold Schwarzenegger/Abigail Breslin/Joely Richardson/Laura Cayouette
Saint Laurent (2014),52,Biography/Drama/Romance,150 min,Gaspard Ulliel/Jérémie Renier/Louis Garrel/Léa Seydoux
I Am Big Bird: The Caroll Spinney Story (2014),71,Documentary/Biography/Drama,90 min,Caroll Spinney/Jim Henson/Frank Oz/Debra Spinney
Noble (2014),63,Biography/Drama,100 min,Deirdre O'Kane/Sarah Greene/Gloria Cramer Curtis/Brendan Coyle
The Seven Five (2014),69,Documentary,104 min,Michael Dowd/Ken Eurell/Walter Yurkiw/Chickie
Skin Trade (2014),39,Action/Crime/Thriller,96 min,Dolph Lundgren/Tony Jaa/Ron Perlman/Michael Jai White
Mad Max: Fury Road (2015),89,Action/Adventure/Sci-Fi/Thriller,120 min,Tom Hardy/Charlize Theron/Nicholas Hoult/Zoë Kravitz
Pitch Perfect 2 (2015),63,Comedy/Music,115 min,Anna Kendrick/Rebel Wilson/Hailee Steinfeld/Brittany Snow
I'll See You in My Dreams (2015),75,Comedy/Drama,92 min,Blythe Danner/Martin Starr/Sam Elliott/Malin Akerman
Good Kill (2014),63,Drama/Thriller,102 min,Ethan Hawke/January Jones/Zoë Kravitz/Fatima El Bahraquy
La French (2014),67,Action/Crime/Thriller,135 min,Jean Dujardin/Gilles Lellouche/Céline Sallette/Mélanie Doutey
Set Fire to the Stars (2014),49,Biography/Drama,97 min,Elijah Wood/Celyn Jones/Kelly Reilly/Steven Mackintosh
Where Hope Grows (2014),41,Drama,95 min,Kristoffer Polaha/David DeSanctis/Danica McKellar/Brooke Burns
El crítico (2013),40,Comedy/Drama/Romance,98 min,Rafael Spregelburd/Dolores Fonzi/Blanca Lewin/Ignacio Rogers
Tomorrowland (2015),60,Action/Adventure/Family/Mystery/Sci-Fi,130 min,George Clooney/Britt Robertson/Hugh Laurie/Raffey Cassidy
Poltergeist (2015),47,Horror/Thriller,93 min,Sam Rockwell/Rosemarie DeWitt/Kennedi Clements/Saxon Sharbino
Omoide no Mânî (2014),71,Animation/Drama/Family/Mystery,103 min,Sara Takatsuki/Kasumi Arimura/Nanako Matsushima/Susumu Terajima
Aloft (2014),34,Drama,112 min,Jennifer Connelly/Cillian Murphy/Mélanie Laurent/Oona Chaplin
Chocolate City (2015),,Drama,91 min,Robert Ri'chard/Tyson Beckford/DeRay Davis/Vivica A. Fox
Mita Tova (2014),71,Comedy/Drama,95 min,Ze'ev Revach/Levana Finkelstein/Aliza Rosen/Ilan Dar
Sunshine Superman (2014),70,Documentary/Biography/Sport,100 min,Cecilie Bull/John Long/Marah Strauch/Carl Boenisch
San Andreas (2015),43,Action/Drama/Thriller,114 min,Dwayne Johnson/Carla Gugino/Alexandra Daddario/Colton Haynes
Aloha (2015),40,Comedy/Drama/Romance,105 min,Bradley Cooper/Rachel McAdams/Emma Stone/Alec Baldwin
Results (2015),73,Comedy,105 min,Guy Pearce/Cobie Smulders/Kevin Corrigan/Giovanni Ribisi
Gemma Bovery (2014),58,Comedy/Drama/Romance,99 min,Fabrice Luchini/Gemma Arterton/Jason Flemyng/Isabelle Candelier
Heaven Knows What (2014),75,Drama,94 min,Arielle Holmes/Caleb Landry Jones/Buddy Duress/Ron Braunstein
Entourage (2015),38,Comedy,104 min,Adrian Grenier/Kevin Connolly/Jerry Ferrara/Kevin Dillon
Spy (2015),75,Action/Comedy/Crime,119 min,Melissa McCarthy/Rose Byrne/Jude Law/Jason Statham
Insidious: Chapter 3 (2015),52,Horror/Thriller,97 min,Dermot Mulroney/Stefanie Scott/Angus Sampson/Leigh Whannell
Love & Mercy (2014),80,Biography/Drama/Music,121 min,John Cusack/Paul Dano/Elizabeth Banks/Paul Giamatti
Testament of Youth (2014),76,Biography/Drama/History/War,129 min,Alicia Vikander/Kit Harington/Taron Egerton/Dominic West
En duva satt på en gren och funderade på tillvaron (2014),81,Comedy/Drama,101 min,Holger Andersson/Nils Westblom/Viktor Gyllenberg/Lotti Törnros
Hungry Hearts (2014),48,Drama/Thriller,109 min,Adam Driver/Alba Rohrwacher/Roberta Maxwell/Al Roffe
Ging Chat Goo Si (2013),44,Action/Crime/Drama/Thriller,110 min,Jackie Chan/Ye Liu/Tian Jing/Tao Yin
Jurassic World (2015),59,Action/Adventure/Sci-Fi/Thriller,124 min,Chris Pratt/Bryce Dallas Howard/Ty Simpkins/Judy Greer
